tc_EPID,tc_EquipmentGroupID,tc_EquipmentUnitID,tc_ExpDurationHrs,tc_ExpEPCount,tc_ExpEndDatetime,tc_ExpStartDatetime,tc_ExperimentID,tc_Latitude,tc_Longitude,tc_C1MassFlow,tc_C1MassFlowUncertainty
4S-23,4S,4S-2,1.25,1,2022-04-28 23:04:27+00:00,2022-04-28 21:49:27+00:00,20220428003,40.59563067,-105.1402638,2626.348355,175.2834505
4T-12,4T,4T-1,0.75,1,2022-04-28 19:19:23+00:00,2022-04-28 18:34:23+00:00,20220428001,40.595764,-105.1399033,4589.638846,236.9965816
4W-15,4W,4W-1,7.5,1,2022-04-28 16:34:20+00:00,2022-04-28 09:04:20+00:00,20220427005,40.59594217,-105.1402197,827.1787902,107.9611958
5S-21,5S,5S-2,7.5,1,2022-04-28 07:04:18+00:00,2022-04-27 23:34:18+00:00,20220427003,40.59593583,-105.1393965,660.6003728,42.85008254
4S-23,4S,4S-2,0.5,1,2022-04-27 16:34:12+00:00,2022-04-27 16:04:12+00:00,20220426009,40.59563067,-105.1402638,5309.676529,272.2239795
5W-13,5W,5W-1,6.5,2,2022-04-27 05:49:05+00:00,2022-04-26 23:19:05+00:00,20220426005,40.59561533,-105.1394182,313.5175894,33.58580131
4T-22,4T,4T-2,0.75,1,2022-04-26 16:33:57+00:00,2022-04-26 15:48:57+00:00,20220426001,40.59579867,-105.1398733,5325.421454,245.5460142
4T-11,4T,4T-1,1,1,2022-04-25 20:25:38+00:00,2022-04-25 19:25:38+00:00,20220422023,40.59575067,-105.1398913,3668.811312,174.4753712
4S-21,4S,4S-2,1.500277778,1,2022-04-25 17:25:33+00:00,2022-04-25 15:55:32+00:00,20220422021,40.59566467,-105.1402658,1852.148364,161.8935309
4S-33,4S,4S-3,1,1,2022-04-24 19:55:23+00:00,2022-04-24 18:55:23+00:00,20220422015,40.595665,-105.1403025,2635.113087,160.7648373
5S-23,5S,5S-2,6,1,2022-04-23 16:40:12+00:00,2022-04-23 10:40:12+00:00,20220422007,40.59592817,-105.1394038,628.9366412,37.18950585
4W-22,4W,4W-2,7.999722222,1,2022-04-23 08:40:07+00:00,2022-04-23 00:40:08+00:00,20220422005,40.59595283,-105.1402622,469.9130119,450.6490869
4W-54,4W,4W-5,7.25,1,2022-04-22 06:33:25+00:00,2022-04-21 23:18:25+00:00,20220421005,40.59593983,-105.1403915,593.5802298,42.17082072
4S-21,4S,4S-2,1.75,2,2022-04-21 20:48:20+00:00,2022-04-21 19:03:20+00:00,20220421003,40.59566467,-105.1402658,1779.468091,150.6095847
4T-22,4T,4T-2,0.750277778,1,2022-04-21 17:03:17+00:00,2022-04-21 16:18:16+00:00,20220421001,40.59579867,-105.1398733,5281.493792,264.5961592
5S-23,5S,5S-2,5.5,1,2022-04-21 13:18:12+00:00,2022-04-21 07:48:12+00:00,20220420008,40.59592817,-105.1394038,587.4120503,38.35225095
4W-26,4W,4W-2,6.75,1,2022-04-21 05:18:09+00:00,2022-04-20 22:33:09+00:00,20220420006,40.59592967,-105.1402628,598.6401116,40.70937422
4S-21,4S,4S-2,1.5,2,2022-04-20 17:03:00+00:00,2022-04-20 15:33:00+00:00,20220419009,40.59566467,-105.1402658,1819.934105,155.803525
4W-22,4W,4W-2,7,1,2022-04-20 13:32:56+00:00,2022-04-20 06:32:56+00:00,20220419007,40.59595283,-105.1402622,572.3596711,40.87641809
5W-11,5W,5W-1,5.5,1,2022-04-20 03:32:53+00:00,2022-04-19 22:02:53+00:00,20220419005,40.59561783,-105.1394243,651.4587041,39.20249343
4S-33,4S,4S-3,0.5,1,2022-04-19 20:02:49+00:00,2022-04-19 19:32:49+00:00,20220419003,40.595665,-105.1403025,4264.838549,202.0127838
